2024/12/04 17:08:10 Logger initialized. Logging to file: firewall.log
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a02:26f7:2e:4:ace0:c204:: | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 2a02:26f7:2e:4:ace0:c204:: | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 63101
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a02:26f7:2e:4:ace0:c204:: | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 2a02:26f7:2e:4:ace0:c204:: | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 63101
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 140.82.112.21 | Destination: 192.168.1.141 | Port: 55073
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 140.82.112.21 | Destination: 192.168.1.141 | Port: 55073
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 140.82.112.21 | Destination: 192.168.1.141 | Port: 55073
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 140.82.112.21 | Destination: 192.168.1.141 | Port: 55073
2024/12/04 17:08:11 [Wednesday, 04-Dec-24 17:08:11 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:12 [Wednesday, 04-Dec-24 17:08:12 EET] Action: No rule matched | Source: 140.82.112.21 | Destination: 192.168.1.141 | Port: 55073
2024/12/04 17:08:12 [Wednesday, 04-Dec-24 17:08:12 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 140.82.112.21 | Port: 443
2024/12/04 17:08:12 [Wednesday, 04-Dec-24 17:08:12 EET] Action: No rule matched | Source: 2a03:2880:f257:c7:face:b00c:0:7260 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59275
2024/12/04 17:08:12 [Wednesday, 04-Dec-24 17:08:12 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a03:2880:f257:c7:face:b00c:0:7260 | Port: 443
2024/12/04 17:08:13 [Wednesday, 04-Dec-24 17:08:13 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a03:2880:f257:c7:face:b00c:0:7260 | Port: 443
2024/12/04 17:08:13 [Wednesday, 04-Dec-24 17:08:13 EET] Action: No rule matched | Source: 2a03:2880:f257:c7:face:b00c:0:7260 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59275
2024/12/04 17:08:14 [Wednesday, 04-Dec-24 17:08:14 EET] Action: No rule matched | Source: 192.168.1.147 | Destination: 224.0.0.251 | Port: 5353
2024/12/04 17:08:14 [Wednesday, 04-Dec-24 17:08:14 EET] Action: No rule matched | Source: fe80::101f:f506:aedc:2b3b | Destination: ff02::fb | Port: 5353
2024/12/04 17:08:14 [Wednesday, 04-Dec-24 17:08:14 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 192.168.1.147 | Port: 5353
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: 192.168.1.147 | Destination: 224.0.0.251 | Port: 5353
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: fe80::101f:f506:aedc:2b3b | Destination: ff02::fb | Port: 5353
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a02:26f7:2e:2:ace0:2685:: | Port: 443
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 142.251.208.138 | Port: 443
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: 142.251.208.138 | Destination: 192.168.1.141 | Port: 65499
2024/12/04 17:08:15 [Wednesday, 04-Dec-24 17:08:15 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 142.251.208.138 | Port: 443
2024/12/04 17:08:20 [Wednesday, 04-Dec-24 17:08:20 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 52.3.106.226 | Port: 443
2024/12/04 17:08:20 [Wednesday, 04-Dec-24 17:08:20 EET] Action: No rule matched | Source: 52.3.106.226 | Destination: 192.168.1.141 | Port: 49176
2024/12/04 17:08:20 [Wednesday, 04-Dec-24 17:08:20 EET] Action: No rule matched | Source: 192.168.1.141 | Destination: 52.3.106.226 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a03:2880:f257:c7:face:b00c:0:7260 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59275
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a03:2880:f257:c7:face:b00c:0:7260 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a03:2880:f257:c7:face:b00c:0:7260 | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a03:2880:f257:c7:face:b00c:0:7260 | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 59275
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: fe80::42b:4fc0:e5a1:f3f3 | Destination: fe80::1 | Port: 53
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: fe80::1 | Destination: fe80::42b:4fc0:e5a1:f3f3 | Port: 53147
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Destination: 2a02:26f7:2e:4:ace0:c20a:: | Port: 443
2024/12/04 17:08:21 [Wednesday, 04-Dec-24 17:08:21 EET] Action: No rule matched | Source: 2a02:26f7:2e:4:ace0:c20a:: | Destination: 2a02:2f04:9210:9000:5d16:f9f6:8610:6dba | Port: 52756
